0 42 84 
0 45 64 
0 44 123 
0 3 60 
0 43 96 
0 5 112 
0 18 53 
0 26 34 
0 20 108 
0 34 45 
0 44 89 
0 4 162 
0 35 49 
0 54 89 
0 44 93 
0 32 48 
0 33 46 
0 55 111 
0 48 142 
0 19 78 
0 16 93 
0 60 141 
0 28 85 
0 33 93 
0 18 79 
0 36 142 
0 36 150 
0 30 69 
0 20 104 
0 32 93 
0 18 57 
0 47 110 
0 19 55 
0 15 73 
0 34 67 
0 19 147 
0 55 119 
0 43 68 
0 23 169 
0 27 94 
0 14 48 
0 10 32 
0 29 89 
0 40 83 
0 26 76 
0 43 85 
0 44 132 
0 33 102 
0 17 47 
0 6 158 
0 27 87 
0 41 39 
0 32 62 
0 25 142 
0 22 72 
0 39 59 
0 17 111 
0 72 165 
0 17 64 
0 19 75 
0 24 134 
0 9 36 
0 28 57 
0 18 89 
0 30 65 
0 18 86 
0 36 122 
0 7 51 
0 43 73 
0 32 73 
0 38 57 
0 16 218 
0 51 84 
0 34 141 
0 10 64 
0 37 85 
0 39 52 
0 62 150 
0 25 71 
0 18 42 
0 42 158 
0 66 52 
0 33 83 
0 4 86 
0 28 97 
0 7 112 
0 27 66 
0 36 92 
0 33 38 
0 9 57 
0 38 132 
0 56 89 
0 15 43 
0 22 55 
0 21 70 
0 35 86 
0 41 49 
0 15 115 
0 12 66 
0 60 156 
0 8 74 
0 1 112 
0 67 89 
0 24 131 
0 47 86 
0 20 155 
0 20 62 
0 19 112 
0 21 92 
0 46 113 
0 50 112 
0 15 132 
0 34 71 
0 30 85 
0 36 117 
0 19 100 
0 21 55 
0 28 86 
0 33 74 
0 18 198 
0 22 60 
0 28 115 
0 62 83 
0 35 144 
0 36 31 
0 23 152 
0 10 116 
0 36 60 
0 6 115 
0 4 42 
0 22 132 
0 13 51 
0 25 84 
0 13 163 
0 20 73 
0 34 131 
0 31 130 
0 1 131 
0 7 63 
0 20 88 
0 4 130 
0 35 44 
0 19 119 
0 25 100 
0 11 76 
0 28 73 
0 25 100 
0 27 102 
0 15 81 
0 11 67 
0 6 120 
0 28 69 
0 25 71 
0 21 117 
0 26 50 
0 9 86 
0 20 72 
0 16 45 
0 4 90 
0 11 105 
0 33 63 
0 23 178 
0 16 146 
0 52 93 
0 23 87 
0 15 79 
0 11 99 
0 42 51 
0 28 63 
0 58 58 
0 37 107 
0 9 63 
0 25 62 
0 15 148 
0 16 99 
0 21 57 
0 21 52 
0 24 46 
0 32 75 
0 32 94 
0 43 80 
0 64 64 
0 21 105 
0 3 66 
0 33 102 
0 21 137 
0 29 51 
0 12 73 
0 33 117 
0 23 42 
0 34 101 
0 68 54 
0 6 80 
0 21 148 
0 29 107 
0 27 96 
0 24 63 
0 17 72 
0 5 112 
0 20 81 
0 16 117 
0 32 68 
0 16 61 
0 20 64 
0 22 53 
0 39 38 
0 17 69 
0 72 111 
0 21 61 
0 27 176 
0 25 62 
0 41 101 
0 27 61 
0 25 193 
0 54 79 
0 20 134 
0 34 96 
0 7 125 
0 14 52 
0 8 76 
0 40 124 
0 46 71 
0 40 40 
0 32 74 
0 23 70 
0 17 71 
0 32 162 
0 50 168 
0 28 96 
0 13 66 
0 36 98 
0 37 74 
0 38 79 
0 66 115 
0 48 131 
0 29 64 
0 18 39 
0 46 122 
0 13 80 
0 27 126 
0 24 65 
0 38 59 
0 31 88 
0 57 35 
0 18 115 
0 61 61 
0 23 67 
0 17 136 
0 33 70 
0 21 90 
0 28 60 
0 23 30 
0 26 214 
0 29 55 
0 27 78 
0 40 75 
0 26 85 
0 27 29 
0 28 97 
0 19 57 
0 18 112 
0 22 80 
0 12 124 
0 9 111 
0 61 81 
0 35 59 
0 19 84 
0 19 164 
0 60 99 
0 9 93 
0 49 97 
0 12 155 
0 25 78 
0 12 107 
0 36 112 
0 31 103 
0 15 110 
0 44 88 
0 19 91 
0 18 75 
0 12 79 
0 14 86 
0 32 77 
0 25 99 
0 26 107 
0 17 70 
0 17 102 
0 23 108 
0 23 73 
0 36 243 
0 34 86 
0 26 141 
0 12 97 
0 25 157 
0 18 24 
0 24 85 
0 24 105 
0 28 112 
0 12 60 
0 35 98 
0 32 63 
0 40 96 
0 20 75 
0 12 51 
0 35 81 
