# U      S2       error
0.030000 1.636340 0.084476
0.045977 1.645796 0.077362
0.070461 1.580635 0.064399
0.107985 1.553750 0.071499
0.165493 1.658713 0.064957
0.253626 1.609454 0.076248
0.388695 1.569390 0.059485
0.595695 1.544491 0.052928
0.912932 1.630786 0.051799
1.399115 1.477829 0.052888
2.144213 1.422927 0.056536
3.286114 1.374868 0.038884
5.036134 1.351732 0.040331
7.718128 1.169991 0.024298
11.828418 0.968046 0.017317
18.127642 0.407539 0.010118
27.781519 0.126825 0.005052
42.576569 0.035203 0.004596
65.250723 0.017175 0.003239
100.000000 0.007231 0.002819
